Main Category	Sub-Category	Constraint	Rule Type	Rule Text
HPE Compute Ops Management	Compute Ops Management SKUs	required	Configuration Rule	Selection constraint for Compute Ops Management SKUs: required
Software & Licenses	OEM Software	no max	Configuration Rule	Selection constraint for OEM Software: no max
Software & Licenses	Proliant Software Media Kits	no max	Configuration Rule	Selection constraint for Proliant Software Media Kits: no max
Software & Licenses	Server Management & Operating System Licenses	no max	Configuration Rule	Selection constraint for Server Management & Operating System Licenses: no max
Software & Licenses	SUSE Add-ons	no max	Configuration Rule	Selection constraint for SUSE Add-ons: no max
Software & Licenses	iLO	no max	Configuration Rule	Selection constraint for iLO: no max
Software & Licenses	OneView Management Software	max 1	Configuration Rule	Selection constraint for OneView Management Software: max 1
Storage Controllers	INTEL VROC Products	max 1	Configuration Rule	Selection constraint for INTEL VROC Products: max 1
Software & Licenses	Supported Operating System	no max	Configuration Rule	Selection constraint for Supported Operating System: no max
Software & Licenses	Server Management & Operating System Licenses	no max	Configuration Rule	Selection constraint for Supported Operating System: no max
Software & Licenses	Server Management & Operating System Licenses	no max	Configuration Rule	Selection constraint for Red Hat OpenShift Platform Container: no max
Software & Licenses	SUSE containers	no max	Configuration Rule	Selection constraint for SUSE containers: no max
Software & Licenses	Red Hat Enterprise Linux Server-Virtualization	no max	Configuration Rule	Selection constraint for Red Hat Enterprise Linux Server-Virtualization: no max
