Main Category	Sub-Category	Constraint	Rule Type	Rule Text
Drive Enclosures / Drives	Drive Cage	max 8	Configuration Rule	12EDSFF Drive Cage / Drives can be selected with 12EDSFF CTO Server only.
PCIe Risers	Secondary PCIe Risers	max 3	Configuration Rule	This Drive cage can be selected with 8SFF CTO Server and 24SFF CTO Server Only.
Drive Enclosures / Drives	Drive Cage	max 8	Configuration Rule	This Drive cage can be selected with 8SFF CTO Server and 12EDSFF CTO Server
PCIe Risers	Primary PCIe Risers	max 3	Configuration Rule	If this Primary Riser is selected then default Primary riser is replaced with this Riser. The “PCIe Card Capacity Limits” must account for this limitation...
Software & Licenses	Proliant Software Media Kits	no max	Configuration Rule	This Drive cage can be selected with 8SFF CTO Server Only.
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	max 8	Configuration Rule	Selection constraint for Solid State Drives (NVMe/SAS/SATA): max 8
Drive Enclosures / Drives	Hard Disk Drives (SAS/SATA)	max 8	Configuration Rule	Selection constraint for Hard Disk Drives (SAS/SATA): max 8
Drive Enclosures / Drives	Optical Drive	max 1	Configuration Rule	Selection constraint for Optical Drive: max 1
Drive Enclosures / Drives	Optical Drive	max 1	Configuration Rule	BTO products are not allowed in CTO Base Model.
Cables & Enablement Kits	Optical Drive Accessories	max 1	Configuration Rule	Selection constraint for Optical Drive Accessories: max 1
PCIe Risers	Riser Cards	max 3	Configuration Rule	Selection constraint for Riser Cards: max 3
PCIe Risers	Secondary PCIe Risers	max 1	Configuration Rule	Private Product is not valid for current customer account
PCIe Risers	Riser Cards Accessories	max 3	Configuration Rule	Selection constraint for Riser Cards Accessories: max 3
Cables & Enablement Kits	System Options		Configuration Rule	Private Product is not valid for current customer account
Networking	InfiniBand PCIe	max 3	Configuration Rule	Selection constraint for InfiniBand PCIe: max 3
Networking	Ethernet PCIe	max 3	Configuration Rule	Selection constraint for Ethernet PCIe: max 3
Networking	PCIe Networking Adapters	max 8	Configuration Rule	Private Product is not valid for current customer account
Networking	OCP Ethernet	max 2	Configuration Rule	Selection constraint for OCP Ethernet: max 2
Networking	OCP Infiniband	max 2	Configuration Rule	Private Product is not valid for current customer account
Networking	Fibre Channel HBA	max 3	Configuration Rule	Selection constraint for Fibre Channel HBA: max 3
Networking	Fibre Channel Cables and SFP	max 1	Configuration Rule	These products are hidden due to Supply constraints
Cables & Enablement Kits	Energy Star	max 1	Configuration Rule	BTO products are not allowed in CTO Base Model.
Networking	Transceivers	max 16	Configuration Rule	Selection constraint for Transceivers: max 16
Networking	PCIe Networking Adapters	max 8	Configuration Rule	These products are hidden due to Supply constraints
Cables & Enablement Kits	OCP3 Networking Adapters	max 2	Configuration Rule	Selection constraint for OCP3 Networking Adapters: max 2
Networking	OCP3 Networking Adapters	max 8	Configuration Rule	If OCP2 x16 Enable Kit is selected then CPU2 / OCP2 x8 Enable Kit OR CPU1 / OCP2 x8 Enable Kit cannot be selected and Vice-versa.
Networking	Fibre Channel Cables and SFP	max 1	Configuration Rule	Selection constraint for Fibre Channel Cables and SFP: max 1
Cables & Enablement Kits	Solid State Drives (NVMe/SAS/SATA)	max 3	Configuration Rule	Selection constraint for Solid State Drives (NVMe/SAS/SATA): max 3
OS Boot Device	System Options		Configuration Rule	HPE DL380 Gen11 NS204i-u FIO Kit can be selected only if HPE NS204i-u Boot Dev is selected.
OS Boot Device	Energy Star	max 1	Configuration Rule	Private Product is not valid for current customer account
Accessories & Infrastructure	System Options	optional	Configuration Rule	BTO products are not allowed in CTO Base Model.
Cables & Enablement Kits	Management Hardware	max 1	Configuration Rule	Selection constraint for Management Hardware: max 1
Memory	Memory Setting	max 1	Configuration Rule	Selection constraint for Memory Setting: max 1
Graphics & GPU	Graphics	max 5	Configuration Rule	Selection constraint for Graphics: max 5
Graphics & GPU	NVIDIA GPU SW	no max	Configuration Rule	Private Product is not valid for current customer account
Graphics & GPU	Graphics Accessories	max 1	Configuration Rule	Selection constraint for Graphics Accessories: max 1
Cooling / Thermal	Power Cooling Options	max 2	Configuration Rule	Selection constraint for Power Cooling Options: max 2
Power Supplies	Power Supplies	max 2	Configuration Rule	Selection constraint for Power Supplies: max 2
Processor	Intel Xeon Scalable Processors	min 1, max 2	Configuration Rule	Mixing of different Power supply SKU is not allowed.
Power Supplies	-48VDC Power Supplies & Cable Kits	min 1, max 2	Configuration Rule	HPE 1600W -48VDC Pwr Cbl Lug Kit(P36877-B21) Supported only with HPE 1600W FS -48VDC Ht Plg PS Kit (P17023-B21).
Cables & Enablement Kits	Power Cords	max 2	Configuration Rule	Selection constraint for Power Cords: max 2
Cables & Enablement Kits	Power Cords & Jumper Cables	max 1	Configuration Rule	BTO products are not allowed in CTO Base Model.
Storage Controllers	INTEL VROC Products-FIO	no max	Configuration Rule	Selection constraint for INTEL VROC Products-FIO: no max
Software & Licenses	VMware NSX	no max	Configuration Rule	Selection constraint for VMware NSX: no max
Software & Licenses	VMWare VCenter Srm Products	no max	Configuration Rule	Selection constraint for VMWare VCenter Srm Products: no max
Software & Licenses	VMWare VSphere Editions	no max	Configuration Rule	Selection constraint for VMWare VSphere Editions: no max
Software & Licenses	VMWare Core Editions	no max	Configuration Rule	Selection constraint for VMWare Core Editions: no max
Accessories & Infrastructure	Chassis Infrastructure & Rail Kits	max 4	Configuration Rule	Selection constraint for Chassis Infrastructure & Rail Kits: max 4
Accessories & Infrastructure	Chassis Infrastructure & Rail Kits	max 3	Configuration Rule	Selection constraint for Chassis Infrastructure & Rail Kits: max 3
Accessories & Infrastructure	System Options	optional	Configuration Rule	Can be selected with 8SFF CTO Server and 24SFF CTO Server only.
HPE Compute Ops Management	Compute Ops Management SKUs	required	Configuration Rule	Selection constraint for Compute Ops Management SKUs: required
Software & Licenses	Server Management & Operating System Licenses	no max	Configuration Rule	Selection constraint for Server Management & Operating System Licenses: no max
Software & Licenses	Red Hat Operating Systems	no max	Configuration Rule	Selection constraint for Red Hat Operating Systems: no max
Software & Licenses	Red Hat SAP Operating System	no max	Configuration Rule	Selection constraint for Red Hat SAP Operating System: no max
Software & Licenses	Red Hat-Virtualization	no max	Configuration Rule	Selection constraint for Red Hat-Virtualization: no max
Software & Licenses	SUSE Add-ons	no max	Configuration Rule	Selection constraint for SUSE Add-ons: no max
Software & Licenses	SUSE containers	no max	Configuration Rule	Selection constraint for SUSE containers: no max
Software & Licenses	SUSE SAP Operating Systems	no max	Configuration Rule	Selection constraint for SUSE SAP Operating Systems: no max
Software & Licenses	OneView Management Software	max 1	Configuration Rule	Selection constraint for OneView Management Software: max 1
Software & Licenses	Proliant Software Media Kits	no max	Configuration Rule	Not Supported ProStack Server Software
Software & Licenses	Integrated Lights Out Software	no max	Configuration Rule	Selection constraint for Integrated Lights Out Software: no max
Software & Licenses	Proliant Software Media Kits	no max	Configuration Rule	Selection constraint for Proliant Software Media Kits: no max
Software & Licenses	Linux Value Added Software	no max	Configuration Rule	Selection constraint for Linux Value Added Software: no max
Software & Licenses	HPC Software Products	no max	Configuration Rule	Selection constraint for HPC Software Products: no max
Software & Licenses	Partner Software - Operating System 8pks	max 30969	Configuration Rule	Selection constraint for Partner Software - Operating System 8pks: max 30969
