Main Category	Sub-Category	Constraint	Rule Type	Rule Text
Storage Controllers	Tri-Mode MegaRAID Storage Controllers	max 4	Configuration Rule	Selection constraint for Tri-Mode MegaRAID Storage Controllers: max 4
Storage Controllers	Smart Array SAS Controllers	max 4	Configuration Rule	These products are hidden due to Supply constraints
Accessories & Infrastructure	System Options	optional	Configuration Rule	Selection constraint for System Options: optional
Accessories & Infrastructure	Smart Storage Batteries	optional	Configuration Rule	Selection constraint for Smart Storage Batteries: optional
Storage Controllers	Storage Controller Cable Kits	max 4	Configuration Rule	Selection constraint for Storage Controller Cable Kits: max 4
Storage Controllers	Storage Controller Cable Kits	max 4	Configuration Rule	Supported with 8LFF and 12LFF CTO Server only.
Drive Enclosures / Drives	SFF Drive Cages & Enablement	max 24	Configuration Rule	Supported with 8LFF CTO Server only and requires 2SFF SBS Cage.
Accessories & Infrastructure	System Options	optional	Configuration Rule	Supported with 12EDSFF CTO Server only.
Accessories & Infrastructure	System Options	optional	Configuration Rule	BTO products are not allowed in CTO Base Model.
Accessories & Infrastructure	System Options	optional	Configuration Rule	Supported with 8LFF CTO Server only.
Drive Enclosures / Drives	Drive Blank & FIO Enablement Kits	max 24	Configuration Rule	BTO products are not allowed in CTO Base Model.
Drive Enclosures / Drives	SFF Drive Cages & Enablement	max 24	Configuration Rule	Supported with 12EDSFF CTO Server only.
Software & Licenses	Server Management & Operating System Licenses	no max	Configuration Rule	Selection constraint for Server Management & Operating System Licenses: no max
Networking	PCIe Networking Adapters	max 8	Configuration Rule	Selection constraint for PCIe Networking Adapters: max 8
Networking	PCIe Networking Adapters	max 8	Configuration Rule	These products are hidden due to Supply constraints
Networking	OCP3 Networking Adapters	max 8	Configuration Rule	Selection constraint for OCP3 Networking Adapters: max 8
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	max 24	Configuration Rule	Selection constraint for Solid State Drives (NVMe/SAS/SATA): max 24
Accessories & Infrastructure	Chassis Infrastructure & Rail Kits	optional	Configuration Rule	Selection constraint for Chassis Infrastructure & Rail Kits: optional
Power Supplies	Flex Slot Power Supplies	min 1, max 2	Configuration Rule	Selection constraint for Flex Slot Power Supplies: min 1, max 2
Processor	Intel Xeon Scalable Processors	min 1, max 2	Configuration Rule	Mixing of Power supplies are not allowed.
Power Supplies	-48VDC Power Supplies & Cable Kits	min 1, max 2	Configuration Rule	If AC Power Supply is selected then only AC Power Cords should be in the drop-down.
Cooling / Thermal	High Performance & Standard Fan Kits	max 6	Configuration Rule	Selection constraint for High Performance & Standard Fan Kits: max 6
Power Supplies	-48VDC Power Supplies & Cable Kits	min 1, max 2	Configuration Rule	HPE 1600W -48VDC Pwr Cbl Lug Kit(P36877-B21) Supported only with HPE 1600W FS -48VDC Ht Plg PS Kit (P17023-B21).
Cables & Enablement Kits	Power Cords & Jumper Cables		Configuration Rule	BTO products are not allowed in CTO Base Model.
Accessories & Infrastructure	System Options	optional	Configuration Rule	RTX Pro 6000/ RTX Pro 6000D/ H200 NVL GPU and 30C Ambient Temperature cannot be selected together.
Cables & Enablement Kits	Power Cords & Jumper Cables		Configuration Rule	Max quantity of product limited by space available.
Accessories & Infrastructure	System Options	optional	Configuration Rule	Not Supported ProStack Server Software
Processor	Intel Xeon Scalable Processors	min 1, max 2	Configuration Rule	Selection constraint for Intel Xeon Scalable Processors: min 1, max 2
Learned Feedback Rules	P76453-B21	learned	Learned Feedback Rule	Portal validation flagged restriction on P76453-B21.
Learned Feedback Rules	P74573-B21	learned	Learned Feedback Rule	Intel Xeon 6730P 250W CPU requires HPE ProLiant Compute DL380 Gen12 Performance Heat Sink Kit (P74792-B21) due to exceeding the 185W standard thermal envelope.
Learned Feedback Rules	P74573-B21	learned	Learned Feedback Rule	Intel Xeon 6730P 250W CPU requires HPE ProLiant High Performance Fan Kit (P48820-B21) because it exceeds the 240W system limit for standard chassis fans.
Learned Feedback Rules	P76449-B21	learned	Learned Feedback Rule	Portal validation flagged restriction on P76450-B21.
Learned Feedback Rules	P69728-F21	learned	Learned Feedback Rule	If P69728-F21 is present, DDR5-6400 is mandatory.
